taxa,03B,04B,05B,06B,07B,08B,09B,10B,11B,12B,13B,14B
D_0__Bacteria;D_1__Planctomycetes;D_2__Phycisphaerae,25,0,17,0,0,9,0,6,0,5,0,0
D_0__Archaea;D_1__Diapherotrites;D_2__Iainarchaeia,123,0,26,3,0,0,0,6,0,100,0,24
D_0__Bacteria;D_1__Actinobacteria;D_2__Acidimicrobiia,0,0,9,0,6,5,30,0,0,51,0,37
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 21,21,13,30,0,24,0,17,0,26,49,48,3
D_0__Bacteria;D_1__Nitrospirae;D_2__4-29-1,54,0,0,0,0,11,0,2,0,139,0,0
D_0__Bacteria;D_1__WOR-1;__,103,0,0,7,0,0,13,19,0,78,0,0
D_0__Bacteria;D_1__Planctomycetes;D_2__OM190,40,0,34,6,50,19,24,7,0,24,0,0
D_0__Bacteria;D_1__Planctomycetes;D_2__Brocadiae,25,2,32,0,0,0,0,0,0,47,0,26
D_0__Bacteria;D_1__Calditrichaeota;D_2__Calditrichia,39,12,200,0,0,0,14,0,0,11,0,0
D_0__Bacteria;D_1__Chlamydiae;D_2__LD1-PA32,0,0,23,0,0,0,0,0,8,118,0,0
D_0__Bacteria;D_1__Elusimicrobia;D_2__Lineage IIc,0,5,16,0,19,0,16,0,0,9,0,0
D_0__Bacteria;D_1__Actinobacteria;D_2__Thermoleophilia,47,0,13,0,0,90,0,0,53,91,22,0
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 17,107,18,107,0,27,0,9,0,24,42,0,0
D_0__Bacteria;D_1__WPS-2;__,89,0,44,0,59,63,14,0,0,36,0,0
D_0__Bacteria;D_1__Planctomycetes;D_2__BD7-11,29,0,34,9,0,42,12,8,24,45,0,0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia,19,0,26,0,0,0,0,0,0,15,0,0
D_0__Archaea;D_1__Nanoarchaeaeota;D_2__Nanohaloarchaeia,3,0,29,5,0,0,0,0,0,25,0,10
D_0__Bacteria;D_1__Acidobacteria;D_2__Blastocatellia (Subgroup 4),28,0,7,0,0,0,0,0,0,23,25,0
D_0__Bacteria;D_1__Planctomycetes;__,9,0,13,0,24,5,5,0,0,11,12,6
D_0__Bacteria;D_1__Acidobacteria;D_2__Thermoanaerobaculia,0,0,0,0,0,0,9,0,0,0,0,0
D_0__Bacteria;D_1__Zixibacteria;D_2__uncultured bacterium,12,4,0,0,0,3,13,0,0,21,0,18
D_0__Bacteria;D_1__Planctomycetes;D_2__Pla3 lineage,40,0,0,0,6,0,0,0,0,9,0,0
D_0__Bacteria;D_1__Firmicutes;__,94,0,0,0,14,0,4,0,15,29,0,18
D_0__Bacteria;D_1__Elusimicrobia;D_2__Lineage IIb,0,5,21,0,23,18,5,0,0,0,0,0
D_0__Bacteria;D_1__Chloroflexi;D_2__KD4-96,0,0,11,0,0,25,0,6,44,80,36,0
D_0__Bacteria;D_1__Acidobacteria;__,14,0,34,0,0,0,21,0,0,4,39,17
D_0__Bacteria;D_1__Spirochaetes;D_2__Leptospirae,0,0,9,0,0,15,0,0,75,44,120,0
D_0__Bacteria;D_1__Entotheonellaeota;D_2__Entotheonellia,14,11,12,0,0,0,0,0,0,29,17,0
D_0__Bacteria;D_1__Actinobacteria;__,0,0,0,0,0,0,0,6,0,24,0,14
D_0__Archaea;D_1__Thaumarchaeota;__,60,0,0,0,0,5,6,0,0,14,0,0
D_0__Archaea;D_1__Diapherotrites;D_2__Micrarchaeia,57,0,4,0,0,16,4,0,0,34,0,7
D_0__Bacteria;D_1__Bacteroidetes;D_2__OC31,0,4,0,0,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Thaumarchaeota;D_2__Group 1.1c,18,0,7,0,0,0,0,0,0,14,0,0
D_0__Bacteria;D_1__Gemmatimonadetes;D_2__Gemmatimonadetes,8,0,0,0,9,0,0,0,0,17,0,0
D_0__Bacteria;D_1__GAL15;D_2__uncultured bacterium,25,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Elusimicrobia;D_2__Endomicrobia,0,0,0,0,0,0,5,0,0,26,20,0
D_0__Bacteria;D_1__Patescibacteria;D_2__WWE3,0,0,0,4,0,0,5,0,3,0,0,5
D_0__Bacteria;D_1__Fusobacteria;D_2__Fusobacteriia,0,0,0,0,0,8,0,0,0,22,0,0
D_0__Bacteria;D_1__Hydrogenedentes;D_2__Hydrogenedentia,0,0,27,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Epsilonbacteraeota;D_2__Campylobacteria,0,0,0,0,0,0,4,0,0,0,0,213
D_0__Bacteria;D_1__AncK6;D_2__uncultured bacterium,5,0,0,0,0,0,0,10,16,0,0,0
D_0__Bacteria;D_1__Margulisbacteria;__,0,0,8,0,0,36,0,0,11,36,0,0
D_0__Bacteria;D_1__Spirochaetes;D_2__MVP-15,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Elusimicrobia;D_2__Lineage IIa,0,0,0,0,0,0,0,0,0,7,0,0
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 15,0,0,27,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Chloroflexi;D_2__P2-11E,16,0,0,6,0,22,0,0,0,0,0,0
D_0__Bacteria;D_1__Schekmanbacteria;__,0,0,9,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Armatimonadetes;D_2__Chthonomonadetes,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Firmicutes;D_2__Negativicutes,53,0,0,0,25,0,0,0,0,0,0,0
D_0__Archaea;D_1__Euryarchaeota;D_2__Thermococci,8,0,0,0,0,30,0,0,4,6,0,0
D_0__Bacteria;D_1__Lentisphaerae;D_2__Lentisphaeria,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Patescibacteria;__,0,0,6,0,0,30,0,0,0,19,0,0
D_0__Bacteria;D_1__Patescibacteria;D_2__CPR2,0,0,0,0,0,0,13,0,0,0,0,0
D_0__Bacteria;D_1__Acidobacteria;D_2__Holophagae,0,0,0,0,0,0,0,0,22,0,0,0
D_0__Bacteria;D_1__Actinobacteria;D_2__MB-A2-108,20,0,0,0,0,0,0,0,0,0,8,0
D_0__Bacteria;D_1__Nitrospinae;D_2__Nitrospinia,0,0,9,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Actinobacteria;D_2__Coriobacteriia,0,0,0,0,0,0,9,0,0,22,0,8
D_0__Bacteria;D_1__BRC1;D_2__uncultured bacterium,0,0,0,0,0,0,0,0,0,9,0,0
D_0__Bacteria;D_1__Armatimonadetes;D_2__Fimbriimonadia,0,0,0,0,0,0,0,3,0,0,0,0
D_0__Bacteria;D_1__WPS-2;D_2__uncultured bacterium,0,0,0,0,0,0,0,0,16,25,0,0
D_0__Bacteria;D_1__PAUC34f;D_2__uncultured bacterium,8,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Firmicutes;D_2__Limnochordia,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Kiritimatiellaeota;D_2__Kiritimatiellae,0,0,0,0,0,0,0,0,0,15,0,0
D_0__Bacteria;D_1__Armatimonadetes;D_2__Armatimonadia,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 9,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Gemmatimonadetes;D_2__BD2-11 terrestrial group,0,0,0,0,0,0,0,0,0,6,8,0
D_0__Bacteria;D_1__Deinococcus-Thermus;D_2__Deinococci,0,0,0,9,0,0,7,0,0,0,22,0
D_0__Bacteria;D_1__FBP;D_2__uncultured bacterium,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Proteobacteria;__,0,0,0,0,0,0,5,0,3,0,0,0
D_0__Bacteria;D_1__LCP-89;D_2__uncultured bacterium,34,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Poribacteria;D_2__uncultured bacterium,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Crenarchaeota;D_2__Thermoprotei,32,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__CK-2C2-2;__,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Chloroflexi;D_2__TK17,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Chloroflexi;__,0,0,0,0,0,0,0,0,0,0,13,0
D_0__Bacteria;D_1__Nitrospirae;D_2__BMS9AB35,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Chloroflexi;D_2__Chloroflexia,0,0,0,0,0,0,0,0,0,7,0,0
D_0__Bacteria;D_1__Chloroflexi;D_2__OLB14,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Acetothermia;D_2__Acetothermiia,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Armatimonadetes;D_2__uncultured,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__PAUC34f;__,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Schekmanbacteria;D_2__uncultured bacterium,0,0,0,0,0,0,0,0,4,0,0,0
D_0__Bacteria;D_1__Actinobacteria;D_2__RBG-16-55-12,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Firmicutes;D_2__Erysipelotrichia,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 18,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Fibrobacteres;D_2__Fibrobacteria,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Fibrobacteres;D_2__Chitinivibrionia,0,0,10,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Planctomycetes;D_2__028H05-P-BN-P5,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Euryarchaeota;D_2__Thermoplasmata,0,0,0,0,0,0,0,0,0,4,0,0
D_0__Bacteria;D_1__Nitrospinae;D_2__P9X2b3D02,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Crenarchaeota;D_2__Bathyarchaeia,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Margulisbacteria;D_2__uncultured bacterium,0,0,0,0,0,0,0,0,0,5,0,0
D_0__Bacteria;D_1__Patescibacteria;D_2__Kazania,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Euryarchaeota;D_2__Methanobacteria,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Euryarchaeota;D_2__Methanomicrobia,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__FCPU426;__,0,0,0,0,0,0,0,0,0,0,0,0
